Total,Roll,Pitch,Yaw,,,,,new total
Total: 5335.45847297949,3178.875333,3157.675809,9669.824277, Mag 14, Accel 24, lowestaccel 10, lowestMag 14,10143.32185
Total: 3793.71580202591,1324.706781,3157.817799,6898.622826, Mag 58, Accel 7, lowestaccel 7, lowestMag 58,8197.733984
Total: 5331.79631460129,3379.094439,3157.850123,9458.444382, Mag 50, Accel 26, lowestaccel 7, lowestMag 50,10302.72968
Total: 5272.31529829422,3281.979583,3157.870613,9377.095699, Mag 31, Accel 25, lowestaccel 8, lowestMag 31,10207.23242
Total: 5272.31529829422,3281.979583,3157.870613,9377.095699, Mag 31, Accel 25, lowestaccel 8, lowestMag 31,10207.23242
Total: 6633.26353837862,5686.129631,3157.949292,11055.71169, Mag 19, Accel 83, lowestaccel 9, lowestMag 19,12538.98642
Total: 5306.74482514169,3179.304588,3158.169235,9582.760653, Mag 15, Accel 24, lowestaccel 9, lowestMag 15,10135.98866
Total: 7976.5129667201,5657.500027,3158.24869,15113.79018, Mag 6, Accel 81, lowestaccel 9, lowestMag 6,12919.62642
Total: 3901.21970587436,1324.37099,3158.257901,7221.030227, Mag 41, Accel 8, lowestaccel 7, lowestMag 41,8230.552715
Total: 5332.18859076814,3379.232818,3158.309263,9459.023691, Mag 51, Accel 26, lowestaccel 7, lowestMag 51,10303.83043
Total: 5271.9367439326,3282.182695,3158.313011,9375.314526, Mag 32, Accel 25, lowestaccel 7, lowestMag 32,10208.1219
Total: 6587.59246796311,5672.28711,3158.413787,10932.07651, Mag 12, Accel 82, lowestaccel 10, lowestMag 12,12515.09362
Total: 6764.70296818194,5699.693714,3158.488904,11435.92629, Mag 25, Accel 84, lowestaccel 8, lowestMag 25,12590.29478
Total: 5285.3234858702,3179.702292,3158.664844,9517.603322, Mag 16, Accel 24, lowestaccel 9, lowestMag 16,10130.82208
Total: 6609.52192814544,5686.47438,3158.679015,10983.41239, Mag 18, Accel 83, lowestaccel 9, lowestMag 18,12533.52621
Total: 5271.49516860301,3282.382593,3158.758278,9373.344635, Mag 33, Accel 25, lowestaccel 7, lowestMag 33,10208.99535
Total: 5332.59984478987,3379.374942,3158.770337,9459.654255, Mag 52, Accel 26, lowestaccel 7, lowestMag 52,10304.94355
Total: 8491.6908042726,5657.810326,3159.008095,16658.25399, Mag 5, Accel 81, lowestaccel 8, lowestMag 5,13075.87088
Total: 5268.72222300579,3180.073646,3159.171125,9466.921898, Mag 17, Accel 24, lowestaccel 9, lowestMag 17,10127.10072
Total: 6655.68114783628,5672.587651,3159.177219,11135.27857, Mag 11, Accel 82, lowestaccel 10, lowestMag 11,12537.21118
Total: 6747.56878600197,5700.063122,3159.187157,11383.45608, Mag 24, Accel 84, lowestaccel 8, lowestMag 24,12586.77673
Total: 5271.04326449142,3282.581268,3159.207399,9371.341126, Mag 34, Accel 25, lowestaccel 7, lowestMag 34,10209.87205
Total: 5333.00103107713,3379.524554,3159.235054,9460.243486, Mag 53, Accel 26, lowestaccel 7, lowestMag 53,10306.06655
Total: 6585.80157512417,5686.813674,3159.41353,10911.17752, Mag 17, Accel 83, lowestaccel 9, lowestMag 17,12528.07712
Total: 5270.57927147014,3282.77793,3159.660115,9369.29977, Mag 35, Accel 25, lowestaccel 7, lowestMag 35,10210.75034
Total: 5255.66856658612,3180.420464,3159.69103,9426.894206, Mag 18, Accel 24, lowestaccel 9, lowestMag 18,10124.4499
Total: 5333.39839024875,3379.675288,3159.703317,9460.816566, Mag 54, Accel 26, lowestaccel 7, lowestMag 54,10307.19605
Total: 9092.13104665588,5658.137766,3159.752658,18458.50272, Mag 4, Accel 81, lowestaccel 8, lowestMag 4,13257.67958
Total: 4158.015004806,1379.793138,3159.841062,7934.410815, Mag 26, Accel 9, lowestaccel 8, lowestMag 26,8354.937029
Total: 6729.6524855987,5700.429531,3159.889716,11328.63821, Mag 23, Accel 84, lowestaccel 8, lowestMag 23,12583.02983
Total: 6760.55009601621,5672.88355,3159.94502,11448.82172, Mag 10, Accel 82, lowestaccel 9, lowestMag 10,12570.36741
Total: 6855.38765914207,5713.178815,3159.966014,11693.01815, Mag 30, Accel 85, lowestaccel 8, lowestMag 30,12631.09478
Total: 5270.05823681294,3282.974082,3160.114967,9367.085661, Mag 36, Accel 25, lowestaccel 7, lowestMag 36,10211.61517
Total: 6563.685795305,5687.147296,3160.153125,10843.75697, Mag 16, Accel 83, lowestaccel 9, lowestMag 16,12523.11451
Total: 5333.85688754168,3379.825235,3160.173139,9461.572288, Mag 55, Accel 26, lowestaccel 7, lowestMag 55,10308.34622
Total: 5245.27041663054,3180.746552,3160.21313,9394.851568, Mag 19, Accel 24, lowestaccel 9, lowestMag 19,10122.58331
Total: 9785.43613332921,5658.485883,3160.480297,20537.34222, Mag 3, Accel 81, lowestaccel 8, lowestMag 3,13467.33211
Total: 5269.63191401964,3283.167418,3160.577452,9365.150873, Mag 37, Accel 25, lowestaccel 7, lowestMag 37,10212.52067
Total: 6710.54310179236,5700.792642,3160.59643,11270.24023, Mag 22, Accel 84, lowestaccel 8, lowestMag 22,12578.93026
Total: 6841.2268157344,5713.554463,3160.641161,11649.48482, Mag 29, Accel 85, lowestaccel 8, lowestMag 29,12628.42982
Total: 4911.3829816047,1477.439239,3160.642837,10096.06687, Mag 13, Accel 10, lowestaccel 10, lowestMag 13,8660.587675
Total: 5334.33883923913,3379.976301,3160.646427,9462.39379, Mag 56, Accel 26, lowestaccel 7, lowestMag 56,10309.5109
Total: 6928.42509329749,5673.176103,3160.716534,11951.38264, Mag 9, Accel 82, lowestaccel 9, lowestMag 9,12622.42983
Total: 5236.96618314753,3181.060983,3160.736212,9369.101354, Mag 20, Accel 24, lowestaccel 8, lowestMag 20,10121.33744
Total: 6547.43087454777,5687.475132,3160.897841,10793.91965, Mag 15, Accel 83, lowestaccel 9, lowestMag 15,12519.91527
Total: 9219.15377621767,3069.159755,3161.058529,21427.24304, Mag 3, Accel 23, lowestaccel 8, lowestMag 3,11227.08514
Total: 5269.11005095572,3283.359982,3161.059652,9362.910519, Mag 38, Accel 25, lowestaccel 7, lowestMag 38,10213.43434
Total: 10096.5179578332,3068.638703,3161.063191,24059.85198, Mag 2, Accel 23, lowestaccel 7, lowestMag 2,11489.88641
Total: 5334.84846814669,3380.128175,3161.121158,9463.296071, Mag 57, Accel 26, lowestaccel 7, lowestMag 57,10310.68728
Total: 10575.1222623181,5658.852942,3161.1932,22905.32065, Mag 2, Accel 81, lowestaccel 7, lowestMag 2,13705.88611
Total: 8458.61684728916,3069.748803,3161.203131,19144.89861, Mag 4, Accel 23, lowestaccel 8, lowestMag 4,10999.67005
Total: 11083.8139766269,3068.204984,3161.221515,27022.01543, Mag 1, Accel 23, lowestaccel 7, lowestMag 1,11786.02906
Total: 3790.42080581537,1325.881329,3161.253249,6884.127839, Mag 59, Accel 7, lowestaccel 7, lowestMag 59,8204.212478
Total: 5230.30063171377,3181.375149,3161.257661,9348.269085, Mag 21, Accel 24, lowestaccel 8, lowestMag 21,10120.57986
Total: 6690.12134979847,5701.151875,3161.307059,11207.90511, Mag 21, Accel 84, lowestaccel 8, lowestMag 21,12574.44132
Total: 6826.23551654742,5713.928972,3161.319739,11603.45784, Mag 28, Accel 85, lowestaccel 8, lowestMag 28,12625.52134
Total: 7809.6714651182,3070.404687,3161.473312,17197.1364, Mag 5, Accel 23, lowestaccel 8, lowestMag 5,10806.02448
Total: 7188.41164103204,5673.467969,3161.494055,12730.2729, Mag 8, Accel 82, lowestaccel 9, lowestMag 8,12702.13657
Total: 5268.68067721067,3283.552778,3161.544847,9360.944406, Mag 39, Accel 25, lowestaccel 7, lowestMag 39,10214.38164
Total: 3892.9169929684,1325.628378,3161.568014,7191.554586, Mag 42, Accel 8, lowestaccel 7, lowestMag 42,8235.357027
Total: 5335.32514109287,3380.279664,3161.599217,9464.096542, Mag 58, Accel 26, lowestaccel 7, lowestMag 58,10311.85979
Total: 6541.40678284265,5687.796496,3161.647546,10774.77631, Mag 14, Accel 83, lowestaccel 10, lowestMag 14,12519.78957
Total: 5225.32166723669,3181.676265,3161.783216,9332.505521, Mag 22, Accel 24, lowestaccel 8, lowestMag 22,10120.32562
Total: 7260.96534124344,3071.106053,3161.839343,15549.95063, Mag 6, Accel 23, lowestaccel 9, lowestMag 6,10642.6692
Total: 11457.3144831647,5659.232024,3161.897719,25550.81371, Mag 1, Accel 81, lowestaccel 7, lowestMag 1,13972.18563
Total: 6810.49215202695,5714.301422,3162.001986,11555.17305, Mag 27, Accel 85, lowestaccel 8, lowestMag 27,12622.39256
Total: 6668.36694525486,5701.5072,3162.022732,11141.5709, Mag 20, Accel 84, lowestaccel 8, lowestMag 20,12569.55904
Total: 5268.21434566472,3283.744812,3162.034483,9358.863742, Mag 40, Accel 25, lowestaccel 7, lowestMag 40,10215.32567
Total: 5335.82888712371,3380.431361,3162.077745,9464.977555, Mag 59, Accel 26, lowestaccel 7, lowestMag 59,10313.04147
Total: 7543.42695821516,5673.762344,3162.272591,13794.24594, Mag 7, Accel 82, lowestaccel 9, lowestMag 7,12810.35589
Total: 6799.12700217202,3071.831007,3162.273884,14163.27611, Mag 7, Accel 23, lowestaccel 9, lowestMag 7,10505.52329
Total: 5221.92755101257,3181.964941,3162.306431,9321.511281, Mag 23, Accel 24, lowestaccel 8, lowestMag 23,10120.53244
Total: 6557.76830827963,5688.111838,3162.402849,10822.79024, Mag 13, Accel 83, lowestaccel 10, lowestMag 13,12526.38538
Total: 5267.76074283306,3283.935039,3162.52673,9356.820459, Mag 41, Accel 25, lowestaccel 7, lowestMag 41,10216.27704
Total: 5336.29946887375,3380.584408,3162.55923,9465.754769, Mag 60, Accel 26, lowestaccel 7, lowestMag 60,10314.2199
Total: 6645.41548726828,5701.85813,3162.742779,11071.64555, Mag 19, Accel 84, lowestaccel 9, lowestMag 19,12564.32243
Total: 6410.98897751404,3072.552787,3162.759741,12997.6544, Mag 8, Accel 23, lowestaccel 9, lowestMag 8,10390.58243
Total: 5219.63038800985,3182.244083,3162.831686,9313.815394, Mag 24, Accel 24, lowestaccel 8, lowestMag 24,10121.06459
Total: 5267.408961116,3284.125708,3163.023852,9355.077323, Mag 42, Accel 25, lowestaccel 7, lowestMag 42,10217.26857
Total: 7982.25985117767,5674.063968,3163.044921,15109.67066, Mag 6, Accel 82, lowestaccel 9, lowestMag 6,12943.71448
Total: 4137.83904159777,1380.947565,3163.110752,7869.458808, Mag 27, Accel 9, lowestaccel 8, lowestMag 27,8356.020193
Total: 6597.51931284873,5688.421105,3163.163418,10940.97342, Mag 12, Accel 83, lowestaccel 10, lowestMag 12,12540.00317
Total: 6084.61937705341,3073.253986,3163.287612,12017.31653, Mag 9, Accel 23, lowestaccel 9, lowestMag 9,10294.23546
Total: 5218.07956660514,3182.514615,3163.358406,9308.365678, Mag 25, Accel 24, lowestaccel 8, lowestMag 25,10121.81653
Total: 6777.2468106781,5715.040003,3163.377744,11453.32269, Mag 25, Accel 85, lowestaccel 8, lowestMag 25,12615.62376
Total: 6547.03951681244,5699.395101,3163.461879,10778.26157, Mag 14, Accel 84, lowestaccel 10, lowestMag 14,12534.20551
Total: 6621.52124547882,5702.204147,3163.467546,10998.89204, Mag 18, Accel 84, lowestaccel 9, lowestMag 18,12558.80803
Total: 5267.03961254794,3284.3165,3163.524182,9353.278156, Mag 43, Accel 25, lowestaccel 7, lowestMag 43,10218.26103
Total: 8496.83886510011,5674.378109,3163.806856,16652.33163, Mag 5, Accel 82, lowestaccel 8, lowestMag 5,13099.78717
Total: 5809.66569991357,3073.921658,3163.845208,11191.23023, Mag 10, Accel 23, lowestaccel 9, lowestMag 10,10213.34293
Total: 5216.90364071531,3182.777721,3163.886091,9304.047111, Mag 26, Accel 24, lowestaccel 8, lowestMag 26,10122.67684
Total: 6665.27887933606,5688.725086,3163.928902,11143.18265, Mag 11, Accel 83, lowestaccel 10, lowestMag 11,12562.02865
Total: 4772.79559743251,1478.706153,3164.006251,9675.674388, Mag 14, Accel 10, lowestaccel 10, lowestMag 14,8626.415479
Total: 5266.72962188056,3284.505563,3164.027085,9351.656218, Mag 44, Accel 25, lowestaccel 7, lowestMag 44,10219.2748
Total: 6760.07101099052,5715.409035,3164.071392,11400.73261, Mag 24, Accel 85, lowestaccel 8, lowestMag 24,12612.08418
Total: 6597.58180271709,5702.544886,3164.197173,10926.00335, Mag 17, Accel 84, lowestaccel 9, lowestMag 17,12553.28508
Total: 5215.85350626134,3183.035984,3164.41607,9300.108466, Mag 27, Accel 24, lowestaccel 8, lowestMag 27,10123.57537
Total: 5593.89550191409,3074.551035,3164.426841,10542.70863, Mag 11, Accel 23, lowestaccel 10, lowestMag 11,10150.22048
Total: 5266.51827991574,3284.6955,3164.533573,9350.325766, Mag 45, Accel 25, lowestaccel 7, lowestMag 45,10220.32567
Total: 9096.47024109085,5674.70964,3164.554311,18450.14677, Mag 4, Accel 82, lowestaccel 8, lowestMag 4,13281.36198
Total: 3787.30262192592,1327.065411,3164.675372,6870.167083, Mag 60, Accel 7, lowestaccel 7, lowestMag 60,8210.726322
Total: 6769.75922955635,5689.024395,3164.698799,11455.5545, Mag 10, Accel 83, lowestaccel 9, lowestMag 10,12595.075
Total: 6742.08904492269,5715.776117,3164.76888,11345.72214, Mag 23, Accel 85, lowestaccel 8, lowestMag 23,12608.30848
Total: 6868.12802570195,5728.209232,3164.838306,11711.33654, Mag 30, Accel 86, lowestaccel 8, lowestMag 30,12656.19858
Total: 3885.12864258569,1326.889931,3164.856249,7163.639748, Mag 43, Accel 8, lowestaccel 7, lowestMag 43,8240.277411
Total: 10723.5721514084,1584.933826,3164.884225,27420.8984, Mag 1, Accel 11, lowestaccel 7, lowestMag 1,10498.29873
Total: 6575.1700057719,5702.879963,3164.932044,10857.69801, Mag 16, Accel 84, lowestaccel 9, lowestMag 16,12548.22586
Total: 5214.88275401221,3183.287668,3164.946251,9296.414343, Mag 28, Accel 24, lowestaccel 8, lowestMag 28,10124.49284
Total: 5435.44029371574,3075.14484,3165.025013,10066.15103, Mag 12, Accel 23, lowestaccel 10, lowestMag 12,10104.29548
Total: 5266.31839039763,3284.884602,3165.043639,9349.02693, Mag 46, Accel 25, lowestaccel 7, lowestMag 46,10221.38611
Total: 9788.72272996227,5675.060627,3165.285646,20525.82192, Mag 3, Accel 82, lowestaccel 8, lowestMag 3,13490.70805
Total: 6722.90515231331,5716.139751,3165.470383,11287.10532, Mag 22, Accel 85, lowestaccel 8, lowestMag 22,12604.17707
Total: 6936.35547417212,5689.320805,3165.47207,11954.27355, Mag 9, Accel 83, lowestaccel 9, lowestMag 9,12646.76022
Total: 5213.96571387674,3183.53537,3165.480062,9292.88171, Mag 29, Accel 24, lowestaccel 8, lowestMag 29,10125.43013
Total: 6853.87340821704,5728.584978,3165.509791,11667.52546, Mag 29, Accel 86, lowestaccel 8, lowestMag 29,12653.49861
Total: 5266.1333715083,3285.074042,3165.556426,9347.769646, Mag 47, Accel 25, lowestaccel 7, lowestMag 47,10222.45645
Total: 5339.04775983701,3075.717275,3165.634774,9775.791231, Mag 13, Accel 23, lowestaccel 10, lowestMag 13,10076.99422
Total: 6558.47435509849,5703.209755,3165.672198,10806.54111, Mag 15, Accel 84, lowestaccel 9, lowestMag 15,12544.88729
Total: 10577.1071495341,5675.429903,3166.003296,22889.88825, Mag 2, Accel 82, lowestaccel 7, lowestMag 2,13728.88233
Total: 5213.01098826703,3183.779128,3166.015488,9289.238349, Mag 30, Accel 24, lowestaccel 8, lowestMag 30,10126.35603
Total: 5266.06999907524,3285.263042,3166.072764,9346.874191, Mag 48, Accel 25, lowestaccel 7, lowestMag 48,10223.56968
Total: 6702.35728087489,5716.499737,3166.175927,11224.39618, Mag 21, Accel 85, lowestaccel 8, lowestMag 21,12599.64124
Total: 6838.78346191035,5728.959432,3166.184622,11621.20633, Mag 28, Accel 86, lowestaccel 8, lowestMag 28,12650.55337
Total: 9726.2209503116,1587.369323,3166.211554,24425.08197, Mag 2, Accel 11, lowestaccel 7, lowestMag 2,10203.5637
Total: 7195.63938683037,5689.616487,3166.246212,12731.05546, Mag 8, Accel 83, lowestaccel 9, lowestMag 8,12726.25281
Total: 5292.5738798277,3076.251005,3166.2531,9635.217534, Mag 14, Accel 23, lowestaccel 10, lowestMag 14,10064.65386
Total: 4118.98240844049,1382.13854,3166.352123,7808.456562, Mag 28, Accel 9, lowestaccel 8, lowestMag 28,8357.474588
Total: 5212.08912675529,3184.020684,3166.553489,9285.693207, Mag 31, Accel 24, lowestaccel 8, lowestMag 31,10127.29491
Total: 5212.08912675529,3184.020684,3166.553489,9285.693207, Mag 31, Accel 24, lowestaccel 8, lowestMag 31,10127.29491
Total: 5266.06190495409,3285.452493,3166.591163,9346.142059, Mag 49, Accel 25, lowestaccel 7, lowestMag 49,10224.70378
Total: 11457.7882081485,5675.809855,3166.713799,25530.84097, Mag 1, Accel 82, lowestaccel 7, lowestMag 1,13994.74057
Total: 6822.98960642825,5729.332034,3166.863201,11572.77359, Mag 27, Accel 86, lowestaccel 8, lowestMag 27,12647.40259
Total: 5262.46529390682,3076.749257,3166.877284,9543.76934, Mag 15, Accel 23, lowestaccel 9, lowestMag 15,10057.20583
Total: 6680.50646211381,5716.855846,3166.885759,11157.77778, Mag 20, Accel 85, lowestaccel 8, lowestMag 20,12594.71956
Total: 7549.47599308502,5689.915045,3167.018319,13791.49462, Mag 7, Accel 83, lowestaccel 9, lowestMag 7,12834.10964
Total: 5211.18447609699,3184.258926,3167.094583,9282.19992, Mag 32, Accel 24, lowestaccel 7, lowestMag 32,10128.24219
Total: 5266.07671253851,3285.642096,3167.113387,9345.474654, Mag 50, Accel 25, lowestaccel 7, lowestMag 50,10225.85213
Total: 6567.8617610881,5703.851109,3167.169021,10832.56515, Mag 13, Accel 84, lowestaccel 10, lowestMag 13,12551.06055
Total: 4663.67607722946,1479.94189,3167.33071,9343.755632, Mag 15, Accel 10, lowestaccel 9, lowestMag 15,8600.984684
Total: 5239.74132840208,3077.215763,3167.502569,9474.505653, Mag 16, Accel 23, lowestaccel 9, lowestMag 16,10051.94989
Total: 6657.38769998587,5717.207648,3167.599616,11087.35584, Mag 19, Accel 85, lowestaccel 9, lowestMag 19,12589.4217
Total: 5266.11901353819,3285.831303,3167.638037,9344.887701, Mag 51, Accel 25, lowestaccel 7, lowestMag 51,10227.01302
Total: 5210.21824679942,3184.495633,3167.638061,9278.521047, Mag 33, Accel 24, lowestaccel 7, lowestMag 33,10129.1743
Total: 7987.87284713528,5690.220959,3167.784761,15105.61282, Mag 6, Accel 83, lowestaccel 9, lowestMag 6,12967.32967
Total: 6607.27712302332,5704.163019,3167.925655,10949.7427, Mag 12, Accel 84, lowestaccel 10, lowestMag 12,12564.5723
Total: 8848.80486434867,1589.544334,3167.981627,21788.88863, Mag 3, Accel 11, lowestaccel 8, lowestMag 3,9945.442018
Total: 3877.76530304175,1328.155855,3168.127214,7137.012841, Mag 44, Accel 8, lowestaccel 7, lowestMag 44,8245.295981
Total: 5221.85266716663,3077.654535,3168.129235,9419.774232, Mag 17, Accel 23, lowestaccel 9, lowestMag 17,10048.12497
Total: 5266.22291155078,3286.020681,3168.163655,9344.484399, Mag 52, Accel 25, lowestaccel 7, lowestMag 52,10228.19436
Total: 5209.2121602996,3184.730432,3168.184196,9274.721853, Mag 34, Accel 24, lowestaccel 7, lowestMag 34,10130.09797
Total: 6789.58959959635,5730.071377,3168.230647,11470.46677, Mag 25, Accel 86, lowestaccel 8, lowestMag 25,12640.57221
Total: 6633.34316579706,5717.554816,3168.318217,11014.15646, Mag 18, Accel 85, lowestaccel 9, lowestMag 18,12583.85142
Total: 8501.85207007765,5690.539091,3168.540573,16646.47655, Mag 5, Accel 83, lowestaccel 8, lowestMag 5,13123.21398
Total: 6674.73991853869,5704.469763,3168.687613,11151.06238, Mag 11, Accel 84, lowestaccel 10, lowestMag 11,12586.50425
Total: 5266.4136458903,3286.210794,3168.694577,9344.335567, Mag 53, Accel 25, lowestaccel 7, lowestMag 53,10229.41242
Total: 5208.29449207032,3184.963187,3168.733824,9271.186465, Mag 35, Accel 24, lowestaccel 7, lowestMag 35,10131.05316
Total: 5207.4839254803,3078.068518,3168.757611,9375.625648, Mag 18, Accel 23, lowestaccel 9, lowestMag 18,10045.33945
Total: 6772.37798795361,5730.437508,3168.920015,11417.77644, Mag 24, Accel 86, lowestaccel 8, lowestMag 24,12637.01143
Total: 6609.18804689464,5717.896941,3169.041181,10940.62602, Mag 17, Accel 85, lowestaccel 9, lowestMag 17,12578.25221
Total: 5266.61597712078,3286.401264,3169.226256,9344.220411, Mag 54, Accel 25, lowestaccel 7, lowestMag 54,10230.63569
Total: 9100.67741333752,5690.873703,3169.28277,18441.87577, Mag 4, Accel 83, lowestaccel 8, lowestMag 4,13304.53945
Total: 5207.34560223629,3185.197677,3169.285314,9267.553816, Mag 36, Accel 24, lowestaccel 7, lowestMag 36,10132.00392
Total: 5195.77902533138,3078.461416,3169.384771,9339.490889, Mag 19, Accel 23, lowestaccel 9, lowestMag 19,10043.33391
Total: 6778.8087984202,5704.772293,3169.454052,11462.20005, Mag 10, Accel 84, lowestaccel 9, lowestMag 10,12619.42317
Total: 4101.35571406256,1383.334746,3169.562994,7751.169402, Mag 29, Accel 9, lowestaccel 8, lowestMag 29,8359.244199
Total: 6880.61796610968,5742.884562,3169.611139,11729.3582, Mag 30, Accel 87, lowestaccel 8, lowestMag 30,12680.7542
Total: 6754.32355662723,5730.800622,3169.613092,11362.55696, Mag 23, Accel 86, lowestaccel 8, lowestMag 23,12633.20244
